competition_id,season_id,country_name,competition_name,competition_gender,competition_youth,competition_international,season_name,match_updated,match_updated_360,match_available_360,match_available
9,281,Germany,1. Bundesliga,male,False,False,2023/2024,2024-09-28T20:46:38.893391,2025-11-15T23:17:41.827093,2025-11-15T23:17:41.827093,2024-09-28T20:46:38.893391
9,27,Germany,1. Bundesliga,male,False,False,2015/2016,2024-05-19T11:11:14.192381,,,2024-05-19T11:11:14.192381
1267,107,Africa,African Cup of Nations,male,False,True,2023,2026-05-12T21:18:08.827431,2026-05-02T02:07:18.902396,2026-05-02T02:07:18.902396,2026-05-12T21:18:08.827431
16,4,Europe,Champions League,male,False,False,2018/2019,2026-05-15T15:54:04.598614,2021-06-13T16:17:31.694,,2026-05-15T15:54:04.598614
16,1,Europe,Champions League,male,False,False,2017/2018,2024-02-13T02:35:28.134882,2021-06-13T16:17:31.694,,2024-02-13T02:35:28.134882
16,2,Europe,Champions League,male,False,False,2016/2017,2024-02-13T02:37:32.205154,2021-06-13T16:17:31.694,,2024-02-13T02:37:32.205154
16,27,Europe,Champions League,male,False,False,2015/2016,2024-06-12T07:45:38.786894,2021-06-13T16:17:31.694,,2024-06-12T07:45:38.786894
16,26,Europe,Champions League,male,False,False,2014/2015,2024-02-12T12:49:54.914228,2021-06-13T16:17:31.694,,2024-02-12T12:49:54.914228
16,25,Europe,Champions League,male,False,False,2013/2014,2024-02-12T12:48:48.479157,2021-06-13T16:17:31.694,,2024-02-12T12:48:48.479157
16,24,Europe,Champions League,male,False,False,2012/2013,2024-02-12T12:47:34.340413,2021-06-13T16:17:31.694,,2024-02-12T12:47:34.340413
16,23,Europe,Champions League,male,False,False,2011/2012,2024-02-13T02:36:35.698340,2021-06-13T16:17:31.694,,2024-02-13T02:36:35.698340
16,22,Europe,Champions League,male,False,False,2010/2011,2024-02-12T12:53:03.944320,2021-06-13T16:17:31.694,,2024-02-12T12:53:03.944320
16,21,Europe,Champions League,male,False,False,2009/2010,2024-02-12T12:49:25.017694,2021-06-13T16:17:31.694,,2024-02-12T12:49:25.017694
16,41,Europe,Champions League,male,False,False,2008/2009,2024-02-13T07:02:54.657056,2021-06-13T16:17:31.694,,2024-02-13T07:02:54.657056
16,39,Europe,Champions League,male,False,False,2006/2007,2024-02-12T13:48:23.967222,2021-06-13T16:17:31.694,,2024-02-12T13:48:23.967222
16,37,Europe,Champions League,male,False,False,2004/2005,2025-06-24T09:44:09.039471,2021-06-13T16:17:31.694,,2025-06-24T09:44:09.039471
16,44,Europe,Champions League,male,False,False,2003/2004,2025-06-24T13:57:37.321382,2021-06-13T16:17:31.694,,2025-06-24T13:57:37.321382
16,76,Europe,Champions League,male,False,False,1999/2000,2025-06-23T12:34:36.649637,2021-06-13T16:17:31.694,,2025-06-23T12:34:36.649637
16,277,Europe,Champions League,male,False,False,1972/1973,2024-02-13T14:25:16.532771,,,2024-02-13T14:25:16.532771
16,71,Europe,Champions League,male,False,False,1971/1972,2024-02-12T14:25:01.735880,2021-06-13T16:17:31.694,,2024-02-12T14:25:01.735880
16,276,Europe,Champions League,male,False,False,1970/1971,2024-02-13T14:24:12.213582,,,2024-02-13T14:24:12.213582
223,282,South America,Copa America,male,False,True,2024,2026-05-13T12:24:48.807600,,,2026-05-13T12:24:48.807600
87,84,Spain,Copa del Rey,male,False,False,1983/1984,2024-02-13T01:54:12.946985,2021-06-13T16:17:31.694,,2024-02-13T01:54:12.946985
87,268,Spain,Copa del Rey,male,False,False,1982/1983,2024-02-13T14:19:57.954551,,,2024-02-13T14:19:57.954551
87,279,Spain,Copa del Rey,male,False,False,1977/1978,2024-02-13T14:26:19.978418,,,2024-02-13T14:26:19.978418
